id ,details,rt,,,,,,phone1,phone2,email,city
45,Axum Police Station,62,9,63305266,74913161,,,963305266,974913161,AxumPS@gov.in,4
46,Aseb Police Station,60,9,42004009,19407648,,,942004009,919407648,AsebPS@gov.in,4
47,Azim Police Station,44,9,29384963,97362562,,,929384963,997362562,AzimPS@gov.in,4
48,Sema Police Station,57,9,74606167,10384682,,,974606167,910384682,SemaPS@gov.in,4
49,Meskel Police Station,48,9,48891736,66678556,,,948891736,966678556,MeskelPS@gov.in,4
50,ELPA -M,48,9,45073568,65662609,,,945073568,965662609,ELPA@gov.in,4
51,EWSA -M,51,9,42991686,34783037,,,942991686,934783037,EWSA@gov.in,4
52,Ethiotel _M,75,9,42872417,60095354,,,942872417,960095354,Ethiotel@gov.in,4
53,Amol Police Station,29,9,98736377,55999976,,,998736377,955999976,AmolPS@gov.in,5
54,Gara Police Station,27,9,72200950,25179402,,,972200950,925179402,GaraPS@gov.in,5
55,Gomo Police Station,29,9,14752241,79104618,,,914752241,979104618,GomoPS@gov.in,5
56,Ray Police Station,73,9,86943752,17003815,,,986943752,917003815,RayPS@gov.in,5
57,Feyu Police Station,40,9,31375795,23897275,,,931375795,923897275,FeyuPS@gov.in,5
58,Shera Police Station,45,9,90769820,46956412,,,990769820,946956412,SheraPS@gov.in,5
59,Weyu Police Station,51,9,93514093,15204228,,,993514093,915204228,WeyuPS@gov.in,5
60,Gefa Police Station,23,9,42311755,85350320,,,942311755,985350320,GefaPS@gov.in,5
61,Dembi Police Station,73,9,54435446,96838540,,,954435446,996838540,DembiPS@gov.in,5
62,Dolo Police Station,22,9,26614931,42931708,,,926614931,942931708,DoloPS@gov.in,5
63,ELPA -A,38,9,83706808,81095202,,,983706808,981095202,ELPA@gov.in,5
64,EWSA -A,74,9,19645606,71020421,,,919645606,971020421,EWSA@gov.in,5
65,Ethiotel _A,40,9,16937493,32106619,,,916937493,932106619,Ethiotel@gov.in,5
